generator_id,bus_id,zone,technology,capacity_mw,min_output_mw,ramp_up_mw_per_h,ramp_down_mw_per_h,variable_cost_usd_per_mwh,startup_cost_usd,unserved_load_penalty_usd_per_mwh,emissions_kgco2_per_mwh,dispatchable,renewable,data_status
GEN_TOCUMEN_WIND,BUS_TOCUMEN,Tocumen,wind,223.0934259664729,0.0,223.0934259664729,223.0934259664729,0,0,0,0,1,1,synthetic_competition_reference
GEN_TOCUMEN_SOLAR,BUS_TOCUMEN,Tocumen,solar,175.52203366479858,0.0,175.52203366479858,175.52203366479858,0,0,0,0,1,1,synthetic_competition_reference
GEN_TOCUMEN_THERMAL,BUS_TOCUMEN,Tocumen,thermal,1491.937286150788,298.3874572301576,745.968643075394,745.968643075394,110,0,800,0,0,0,synthetic_competition_reference
GEN_TOCUMEN_HYDRO,BUS_TOCUMEN,Tocumen,hydro,1482.094929122855,0.0,296.41898582457105,296.41898582457105,12,0,0,0,1,0,synthetic_competition_reference
GEN_SANTIAGO_WIND,BUS_SANTIAGO,Santiago,wind,17.384250070114497,0.0,17.384250070114497,17.384250070114497,0,0,0,0,1,1,synthetic_competition_reference
GEN_SANTIAGO_SOLAR,BUS_SANTIAGO,Santiago,solar,13.677314393398904,0.0,13.677314393398904,13.677314393398904,0,0,0,0,1,1,synthetic_competition_reference
GEN_SANTIAGO_THERMAL,BUS_SANTIAGO,Santiago,thermal,116.25717234389067,23.251434468778136,58.12858617194534,58.12858617194534,110,0,800,0,0,0,synthetic_competition_reference
GEN_SANTIAGO_HYDRO,BUS_SANTIAGO,Santiago,hydro,115.49022013491503,0.0,23.098044026983008,23.098044026983008,12,0,0,0,1,0,synthetic_competition_reference
GEN_DAVID_WIND,BUS_DAVID,David,wind,31.522323963412536,0.0,31.522323963412536,31.522323963412536,0,0,0,0,1,1,synthetic_competition_reference
GEN_DAVID_SOLAR,BUS_DAVID,David,solar,24.80065194180251,0.0,24.80065194180251,24.80065194180251,0,0,0,0,1,1,synthetic_competition_reference
GEN_DAVID_THERMAL,BUS_DAVID,David,thermal,210.8055415053213,42.16110830106426,105.40277075266064,105.40277075266064,110,0,800,0,0,0,synthetic_competition_reference
GEN_DAVID_HYDRO,BUS_DAVID,David,hydro,209.4148507422296,0.0,41.88297014844592,41.88297014844592,12,0,0,0,1,0,synthetic_competition_reference
