record_no,company,project,province,district,corregimiento,capacity_mw,commercial_operation_date,status,technology
1,"Island Power, S.A. (IPSA)","Sistemas  Aislados ( Yavisa, Garachiné, Santa Fé , Boca de Cupe, Jaqué, La Palma, Río Azúcar; Otoque, San Miguel, Chepillo, Saboga, Taboga;Tucutí, Narganá, Yaviza)
Bocas Power Plant  S.A ( Isla Colón, Bastimento,Carenero y Solarte )",Bocas del Toro; Darién; Panamá; Guna Yala,,,32.42,Operación,Operación,Térmicas 
2,"Seneca Energy, S.A. ","Palmas Bellas
","Colón
","Chagres 
","Palmas Bellas  
",1.5,Operación,Operación,Térmicas 
3,"Seneca Energy, S.A. ","
Isla Grande ","Colón
",Portobelo,Isla Grande ,1.5,Operación,Operación,Térmicas 
4,"Seneca Energy, S.A. ","
Palenque 
","Colón
","Santa Isabel
","Palenque 
",2.0,Operación,Operación,Térmicas 
5,"Celsia Centro América, S.A.",Cativá,Colón,Colón ,Cativá,155.0,"G6-G7-G8-G9-G10 ago-2008
G2-G4-G5 nov-08, G1 nov-2008, G3 ene-2009",Operación Comercial,Térmicas 
6,"Generadora del Atlántico, S.A.",Termo Colón,Colón ,Colón ,Cativá,150.0,"G1 jul-09, G2 sep-09, 
G3 dic-09
C. COMB 1+1  nov-10, C.COMB 2+1  dic-10",Operación Comercial,Térmicas 
7, Pan-Am Generating Limited,Panam  I  y II,Panamá Oeste ,Chorrera ,El Arado ,147.0,"Enero de 2000
8 de febrero 2016, 3 Motores adicionales .",Operación Comercial,Térmicas 
8,Gas Natural Atlantico  S. de R.L.,Costa Norte ,Colón,Colón,Cristóbal,381.0,22 de Julio de 2019,Operación Comercial,Térmicas 
9,"Tropitermica, S.A.",Tropitermica ,Colón,Colón,Cristóbal,5.05,Por definir ,PRUEBA,Térmicas 
10,Sparkle Power S.A.,Sparkle Power,Colón,Colón,Buena Vista ,49.2,Por definir ,PRUEBA,Térmicas 
11,"Pedregal Power Company, S de R.L.",Central Termoelectrica Pacora ,Panama,Panamá,Pacora ,53.53,28 de enero de 2023,Operación Comercial,Térmicas 
12,"Enel Renovable, S.R.L",Chiriquí,Chiriquí,San Lorenzo,San Juan ,9.0,03 de junio de 2015,Operación Comercial,Fotovoltaica 
13,"Empresa de Generación Eléctrica , S.A. (EGESA)",Sarigua,Herrera,Parita,Puerto Limón,2.4,2019-10-04 00:00:00,Operación Comercial,Fotovoltaica 
14,"Generación Solar,   S.A.",Zona Franca Albrook,Panamá,Panamá,Ancón,0.1,15 de febrero de 2017,Operación Comercial,Fotovoltaica 
15,Divisa Solar  10 MW S.A.,Divisa Solar,Coclé,Aguadulce ,El Roble,9.99,19 de enero 2016,Operación Comercial,Fotovoltaica 
16,"Farallon Solar 2, S.A.",Farrallon Solar 2,Coclé,Antón,Río Hato,4.8,07 de diciembre de 2016,Operación Comercial,Fotovoltaica 
17,"Solar Azuero Venture, S.A.",Los Ángeles,Los Santos,Los Santos.,Los Angeles,9.522,30 de marzo de 2017,Operación Comercial,Fotovoltaica 
18,"Solar Panamá Venture, S de R.L.",Paris,Herrera,Parita,París,8.5,30 de marzo de 2017,Operación Comercial,Fotovoltaica 
19,"Solar Coclé Venture,  S de R. L. ",Coclé,Coclé,Penonomé,Coclé,8.5,30 de marzo de 2017,Operación Comercial,Fotovoltaica 
20,"Empresa Nacional de Energía,  S.A.",Bugaba,Chiriquí,Bugaba,Sotová,2.56,Por definir ,PRUEBA,Fotovoltaica 
21,"Hidroiberica , S.A. ",El Fraile Solar I ,Coclé,Natá ,Guzmán,0.48,04 de abril de 2017,Operación Comercial,Fotovoltaica 
22,"Enel Renovable, S.R.L",Generadora Solar Caldera,Chiriquí,Barú,Progreso,5.45,Por definir ,PRUEBA,Fotovoltaica 
23,"Llano Sánchez Solar Power, S.A.",Don Félix  (Etapa I y II ),Coclé,Aguadulce ,El Roble,9.99,22 de abril de 2022,Operación Comercial,Fotovoltaica 
24,"Enel Renovable, S.R.L",Sol de David,Chiriquí,Barú,Progreso,9.99,Por definir ,PRUEBA,Fotovoltaica 
25,"Enel Renovable, S.R.L",Milton Solar,Coclé,Aguadulce ,El Roble,10.0,Por definir ,PRUEBA,Fotovoltaica 
