iter	RMSE
0	22.92009533
1	21.91505069
2	20.96347569
3	20.07931461
4	19.22892343
5	18.43447366
6	17.67916541
7	16.96714503
8	16.28264718
9	15.63869719
10	15.03778634
11	14.46083347
12	13.94169946
13	13.43011219
14	12.94009515
15	12.48438676
16	12.04703904
17	11.63606918
18	11.26300059
19	10.91059638
20	10.57583069
21	10.25901674
22	9.961336543
23	9.686892228
24	9.42878642
25	9.189479521
26	8.971838716
27	8.761460846
28	8.561324953
29	8.381097746
30	8.21486218
31	8.061817395
32	7.907138511
33	7.774145802
34	7.647897401
35	7.531563094
36	7.419674741
37	7.311945885
38	7.219408269
39	7.129500091
40	7.043650143
41	6.957239856
42	6.879306852
43	6.812226193
44	6.750449633
45	6.691332169
46	6.636320166
47	6.586002685
48	6.537842374
49	6.494251169
50	6.451314056
51	6.411533429
52	6.369538881
53	6.332428516
54	6.300536547
55	6.271523147
56	6.237048546
57	6.211358897
58	6.18011642
59	6.150743827
60	6.120928639
61	6.095112777
62	6.072796219
63	6.047436862
64	6.029874259
65	6.004405949
66	5.986048929
67	5.970189332
68	5.95493392
69	5.940233264
70	5.922777335
71	5.904857084
72	5.889300856
73	5.871913347
74	5.85990987
75	5.841624199
76	5.822428775
77	5.812018101
78	5.800030583
79	5.782362116
80	5.768303796
81	5.757568314
82	5.741515902
83	5.726441264
84	5.71419394
85	5.704987676
86	5.696418471
87	5.686439379
88	5.677006974
89	5.662417844
90	5.65204868
91	5.643574306
92	5.633181399
93	5.622479177
94	5.611505144
95	5.603506366
96	5.597323734
97	5.587534489
98	5.580097009
99	5.572796011
100	5.565867146
101	5.556555957
102	5.550694006
103	5.539095344
104	5.529050209
105	5.521796885
106	5.515928191
107	5.510226013
108	5.49836978
109	5.488426937
110	5.480135365
111	5.472157443
112	5.466086276
113	5.45590996
114	5.449002443
115	5.442950971
116	5.437493118
117	5.429864035
118	5.422054987
119	5.414584618
120	5.410542799
121	5.405555337
122	5.400406413
123	5.394622212
124	5.390803082
125	5.383881064
126	5.375130946
127	5.367815983
128	5.363592342
129	5.355029427
130	5.351650692
131	5.343663371
132	5.339553783
133	5.331284332
134	5.320368924
135	5.310003778
136	5.306428908
137	5.301403293
138	5.297475939
139	5.292943008
140	5.289534672
141	5.283720187
142	5.277448899
143	5.27156341
144	5.265731658
145	5.261145355
146	5.255521833
147	5.250605975
148	5.246723007
149	5.241587663
150	5.234544244
151	5.230693757
152	5.225586608
153	5.223137825
154	5.219886333
155	5.215056275
156	5.212071074
157	5.20805868
158	5.205337414
159	5.202136929
160	5.196405198
161	5.192678772
162	5.186964804
163	5.182521535
164	5.1780643
165	5.174424929
166	5.169901547
167	5.166683165
168	5.160995763
169	5.155725217
170	5.145453417
171	5.137901258
172	5.130639253
173	5.125047879
174	5.120209949
175	5.114641335
176	5.111579288
177	5.104814708
178	5.101908312
179	5.096713144
180	5.093342076
181	5.088086996
182	5.082912873
183	5.079185936
184	5.074649197
185	5.071110953
186	5.065705486
187	5.062625423
188	5.056890897
189	5.051344098
190	5.04774257
191	5.043387063
192	5.038711282
193	5.035928675
194	5.031448546
195	5.027781029
196	5.024348761
197	5.018037504
198	5.014319754
199	5.007908244
200	5.00492111
201	4.999948913
202	4.998014097
203	4.994052418
204	4.991455694
205	4.986036264
206	4.981006404
207	4.975952125
208	4.972285596
209	4.969582222
210	4.965289261
211	4.962852633
212	4.959097613
213	4.955069151
214	4.949103021
215	4.944844758
216	4.942517731
217	4.93796218
218	4.934911692
219	4.931442484
220	4.928377297
221	4.924779925
222	4.920862913
223	4.91880145
224	4.91581647
225	4.911032983
226	4.906852034
227	4.901298431
228	4.897223853
229	4.893489648
230	4.891015649
231	4.889030743
232	4.886683043
233	4.883869221
234	4.879558736
235	4.875803981
236	4.872731129
237	4.869256118
238	4.864594666
239	4.859491094
240	4.855679249
241	4.851206566
242	4.84778792
243	4.844066959
244	4.841460942
245	4.838466723
246	4.834802703
247	4.831928385
248	4.829013056
249	4.824227616
250	4.821908923
251	4.819144946
252	4.816877997
253	4.812940253
254	4.810308862
255	4.80456045
256	4.800834778
257	4.796237813
258	4.792544948
259	4.790010763
260	4.787529543
261	4.784576995
262	4.781280923
263	4.77708995
264	4.774574722
265	4.770981737
266	4.765703305
267	4.762261811
268	4.760166256
269	4.757214654
270	4.753906957
271	4.751381132
272	4.748425676
273	4.745308213
274	4.742107427
275	4.737866126
276	4.734628584
277	4.731450948
278	4.729010978
279	4.726302419
280	4.724061911
281	4.720955043
282	4.718232049
283	4.716303738
284	4.71386171
285	4.710264999
286	4.707773837
287	4.704447924
288	4.702381487
289	4.699505901
290	4.696491915
291	4.692834933
292	4.68953109
293	4.687018376
294	4.684872738
295	4.682299539
296	4.680718263
297	4.676943374
298	4.673751135
299	4.671542657
300	4.667689042
301	4.665137076
302	4.662538968
303	4.660818327
304	4.65872496
305	4.656407789
306	4.654898758
307	4.651650862
308	4.648324007
309	4.645976295
310	4.642673146
311	4.640519507
312	4.638439303
313	4.635325084
314	4.632220242
315	4.630093729
316	4.627623199
317	4.625457648
318	4.622602338
319	4.619063468
320	4.615741181
321	4.613458822
322	4.611287715
323	4.608900716
324	4.60692298
325	4.60465034
326	4.60211584
327	4.599708282
328	4.596767907
329	4.594841101
330	4.593172769
331	4.591391979
332	4.589330008
333	4.587582593
334	4.585494543
335	4.58270233
336	4.580792907
337	4.578131143
338	4.575620212
339	4.572409406
340	4.570723531
341	4.568823592
342	4.567068959
343	4.564047337
344	4.560745474
345	4.558268116
346	4.556647197
347	4.55314293
348	4.550812159
349	4.548764494
350	4.545457467
351	4.543731372
352	4.541396537
353	4.539512788
354	4.536488903
355	4.533970387
356	4.532650064
357	4.53017834
358	4.52804365
359	4.525459923
360	4.52317309
361	4.52025409
362	4.517871455
363	4.515709681
364	4.512309183
365	4.509335867
366	4.507569245
367	4.504691684
368	4.501546022
369	4.497984098
370	4.496463378
371	4.494604234
372	4.492683343
373	4.489247995
374	4.486328259
375	4.483680205
376	4.481291554
377	4.479965888
378	4.478201482
379	4.476625014
380	4.474054291
381	4.472053624
382	4.469755134
383	4.467535376
384	4.46601584
385	4.462889605
386	4.460951977
387	4.459535781
388	4.457877693
389	4.456091826
390	4.453899377
391	4.450693529
392	4.448329227
393	4.446688258
394	4.444306919
395	4.442514697
396	4.438821319
397	4.436754803
398	4.434250006
399	4.431999335
400	4.429146484
401	4.42773968
402	4.42584023
403	4.424370319
404	4.421237593
405	4.419743083
406	4.417691858
407	4.416075552
408	4.413724147
409	4.410742781
410	4.408224705
411	4.405479405
412	4.403781197
413	4.40174227
414	4.40013063
415	4.398699177
416	4.396375262
417	4.39494787
418	4.392458649
419	4.391252194
420	4.389533939
421	4.386222702
422	4.384782801
423	4.382984155
424	4.380282037
425	4.378641558
426	4.376616085
427	4.374041997
428	4.371507764
429	4.369580183
430	4.367423814
431	4.365471554
432	4.363653357
433	4.361866071
434	4.360007373
435	4.358032634
436	4.355681656
437	4.3540416
438	4.350836509
439	4.348405344
440	4.34683888
441	4.345632046
442	4.343480029
443	4.341607458
444	4.338988845
445	4.337055252
446	4.335991533
447	4.333823957
448	4.332089446
449	4.330360032
450	4.328860947
451	4.327305469
452	4.324757133
453	4.323699018
454	4.321548928
455	4.320269077
456	4.31752779
457	4.316182371
458	4.314689636
459	4.313229827
460	4.310203923
461	4.308105012
462	4.305575091
463	4.3040024
464	4.302302974
465	4.300055739
466	4.297964059
467	4.294998255
468	4.292062043
469	4.290293178
470	4.289227332
471	4.287962309
472	4.286206465
473	4.283222195
474	4.280647891
475	4.278809831
476	4.277038059
477	4.274220726
478	4.272533036
479	4.271445887
480	4.269431969
481	4.267729238
482	4.265692532
483	4.26415289
484	4.262220295
485	4.259375701
486	4.257370717
487	4.255184627
488	4.25343965
489	4.251503753
490	4.2496942
491	4.246664574
492	4.244482231
493	4.243047059
494	4.241353542
495	4.239275763
496	4.238190332
497	4.235873487
498	4.234514341
499	4.233444266
500	4.230023609
501	4.228084005
502	4.226503515
503	4.225128732
504	4.22376083
505	4.221819678
506	4.220646422
507	4.218052945
508	4.216429118
509	4.214366818
510	4.213264824
511	4.210223413
512	4.208048057
513	4.206745805
514	4.204239439
515	4.20237653
516	4.201141036
517	4.199470117
518	4.198329368
519	4.196639196
520	4.194118311
521	4.192245866
522	4.190810548
523	4.188852107
524	4.186173383
525	4.184147424
526	4.182006431
527	4.18069345
528	4.178447203
529	4.175476888
530	4.173530617
531	4.172126484
532	4.169885139
533	4.168404772
534	4.167168826
535	4.165554081
536	4.164168767
537	4.161645567
538	4.159786262
539	4.158339906
540	4.156483361
541	4.154402955
542	4.152981776
543	4.149923571
544	4.147690386
545	4.145744762
546	4.143916916
547	4.141566494
548	4.140312904
549	4.137605252
550	4.136706333
551	4.135569223
552	4.133860589
553	4.132010819
554	4.12962689
555	4.12755273
556	4.12554992
557	4.124129731
558	4.12249742
559	4.120732608
560	4.119048833
561	4.11739758
562	4.116039089
563	4.114295752
564	4.112518024
565	4.110661458
566	4.109767036
567	4.108618305
568	4.106534828
569	4.105329695
570	4.103160208
571	4.101384617
572	4.099922452
573	4.098191883
574	4.096587879
575	4.094773543
576	4.0926862
577	4.090961684
578	4.089645812
579	4.088389221
580	4.086683718
581	4.085771907
582	4.084177346
583	4.082518181
584	4.080962243
585	4.079240896
586	4.077418509
587	4.075707192
588	4.073958661
589	4.071966543
590	4.070015336
591	4.068911126
592	4.067286642
593	4.064745656
594	4.063076004
595	4.060359187
596	4.058942058
597	4.057454733
598	4.054931202
599	4.053202123
600	4.05225389
601	4.050621142
602	4.048633767
603	4.047497079
604	4.045766925
605	4.044181962
606	4.043138018
607	4.041951398
608	4.040849501
609	4.038996058
610	4.037553485
611	4.036154102
612	4.034285198
613	4.033015671
614	4.031305532
615	4.029884359
616	4.028314663
617	4.026479364
618	4.024613072
619	4.022931618
620	4.020803101
621	4.019606052
622	4.017809349
623	4.016245922
624	4.013717758
625	4.012287328
626	4.010871637
627	4.0082417
628	4.006490161
629	4.004935641
630	4.003817549
631	4.00133806
632	3.999536416
633	3.998162919
634	3.994995194
635	3.993273476
636	3.991800864
637	3.990515666
638	3.98896358
639	3.987586177
640	3.986165842
641	3.984836016
642	3.983249758
643	3.982184627
644	3.981098533
645	3.979364816
646	3.978033251
647	3.976527372
648	3.974596986
649	3.972637737
650	3.971090367
651	3.968465993
652	3.966573391
653	3.965386962
654	3.963677294
655	3.962546396
656	3.960498163
657	3.959058518
658	3.957133538
659	3.954802762
660	3.95320835
661	3.951886237
662	3.950425202
663	3.948640563
664	3.947409439
665	3.944149989
666	3.942538236
667	3.940692745
668	3.939563462
669	3.93799076
670	3.93634528
671	3.935305994
672	3.932736347
673	3.931478775
674	3.929991015
675	3.928204065
676	3.927078213
677	3.925778773
678	3.924666287
679	3.92314075
680	3.9216527
681	3.920502814
682	3.919495524
683	3.917993282
684	3.91614769
685	3.913420608
686	3.912190418
687	3.91100447
688	3.909194616
689	3.908096557
690	3.90692866
691	3.905714515
692	3.904772603
693	3.903533533
694	3.902359321
695	3.90090231
696	3.899956467
697	3.898115755
698	3.896702811
699	3.895030833
700	3.89378468
701	3.892107346
702	3.890612294
703	3.888399307
704	3.887285295
705	3.886186259
706	3.884827136
707	3.883299039
708	3.880958372
709	3.879058166
710	3.877965229
711	3.876492123
712	3.875305377
713	3.873499829
714	3.872377796
715	3.871175574
716	3.869592877
717	3.8684233
718	3.866767903
719	3.865000769
720	3.863623501
721	3.862671264
722	3.861643607
723	3.860278759
724	3.859771193
725	3.858734683
726	3.857617783
727	3.855724804
728	3.854647266
729	3.852529667
730	3.85118758
731	3.84983831
732	3.848930621
733	3.847838669
734	3.846499975
735	3.845264918
736	3.843483092
737	3.842108095
738	3.84094636
739	3.839621358
740	3.837559002
741	3.835544811
742	3.834351134
743	3.833510305
744	3.831731656
745	3.830763392
746	3.829023776
747	3.828279456
748	3.827130821
749	3.82584571
750	3.824711186
751	3.822536278
752	3.82183907
753	3.820663628
754	3.818399802
755	3.817375007
756	3.816382472
757	3.815112899
758	3.813815725
759	3.81168633
760	3.810663173
761	3.808519277
762	3.807456987
763	3.806135569
764	3.804694896
765	3.803314627
766	3.802455777
767	3.801469065
768	3.799843588
769	3.798875623
770	3.797640281
771	3.796326774
772	3.795073131
773	3.793222078
774	3.792031999
775	3.790810123
776	3.789749969
777	3.788416573
778	3.786856036
779	3.785267584
780	3.784109861
781	3.783202536
782	3.781439515
783	3.780532138
784	3.779687804
785	3.778305276
786	3.777233216
787	3.7761985
788	3.773777246
789	3.772943885
790	3.771570645
791	3.770522732
792	3.769050829
793	3.767357123
794	3.765501319
795	3.763650077
796	3.762560097
797	3.760808278
798	3.759597412
799	3.758218761
