iter	Passed	Remaining
0	13	10598
1	23	9484
2	33	8813
3	44	8815
4	54	8619
5	65	8662
6	76	8675
7	86	8524
8	116	10214
9	129	10216
10	141	10151
11	150	9878
12	161	9780
13	172	9687
14	181	9498
15	192	9417
16	201	9264
17	212	9227
18	223	9202
19	232	9076
20	242	9010
21	252	8926
22	263	8891
23	274	8861
24	282	8771
25	293	8728
26	303	8686
27	312	8627
28	324	8617
29	334	8587
30	344	8546
31	355	8537
32	364	8479
33	375	8463
34	386	8446
35	395	8390
36	406	8387
37	418	8384
38	427	8336
39	437	8314
40	447	8290
41	457	8261
42	469	8264
43	479	8239
44	489	8209
45	500	8202
46	509	8165
47	520	8154
48	531	8150
49	542	8137
50	553	8125
51	563	8111
52	574	8096
53	584	8078
54	594	8050
55	604	8028
56	615	8026
57	624	7992
58	635	7981
59	646	7976
60	656	7947
61	667	7939
62	678	7937
63	687	7910
64	699	7904
65	707	7869
66	717	7852
67	728	7843
68	738	7825
69	749	7811
70	758	7785
71	768	7773
72	779	7766
73	789	7746
74	799	7731
75	810	7724
76	820	7705
77	831	7695
78	840	7666
79	850	7652
80	861	7649
81	870	7621
82	881	7616
83	892	7606
84	902	7587
85	912	7577
86	921	7549
87	930	7531
88	940	7516
89	950	7500
90	962	7500
91	972	7486
92	983	7477
93	994	7468
94	1003	7449
95	1014	7440
96	1025	7433
97	1034	7413
98	1045	7402
99	1055	7391
100	1065	7376
101	1076	7367
102	1086	7349
103	1098	7350
104	1109	7345
105	1119	7327
106	1129	7316
107	1140	7308
108	1149	7288
109	1160	7279
110	1171	7270
111	1180	7253
112	1192	7247
113	1202	7237
114	1213	7228
115	1224	7221
116	1235	7212
117	1245	7200
118	1257	7194
119	1266	7179
120	1277	7170
121	1289	7165
122	1298	7149
123	1311	7147
124	1323	7147
125	1333	7131
126	1343	7120
127	1355	7116
128	1364	7098
129	1375	7091
130	1386	7081
131	1396	7067
132	1407	7058
133	1418	7049
134	1428	7037
135	1440	7033
136	1454	7036
137	1465	7028
138	1475	7016
139	1487	7010
140	1496	6993
141	1506	6982
142	1518	6977
143	1529	6965
144	1540	6959
145	1551	6949
146	1560	6933
147	1572	6926
148	1582	6912
149	1592	6901
150	1604	6894
151	1615	6887
152	1625	6873
153	1637	6870
154	1649	6862
155	1659	6848
156	1670	6839
157	1680	6827
158	1690	6814
159	1702	6809
160	1711	6792
161	1721	6781
162	1733	6775
163	1744	6763
164	1754	6753
165	1766	6744
166	1775	6729
167	1786	6720
168	1797	6712
169	1807	6698
170	1819	6691
171	1832	6689
172	1843	6681
173	1854	6670
174	1866	6665
175	1876	6654
176	1887	6642
177	1898	6634
178	1908	6621
179	1919	6610
180	1930	6601
181	1939	6585
182	1951	6578
183	1963	6572
184	1973	6560
185	1983	6548
186	1994	6536
187	2003	6521
188	2014	6511
189	2023	6496
190	2033	6482
191	2044	6473
192	2053	6457
193	2063	6446
194	2073	6434
195	2083	6419
196	2094	6409
197	2103	6394
198	2113	6383
199	2124	6373
200	2133	6356
201	2144	6348
202	2152	6331
203	2163	6319
204	2173	6308
205	2183	6294
206	2194	6285
207	2203	6270
208	2214	6261
209	2224	6250
210	2233	6234
211	2243	6222
212	2252	6207
213	2262	6196
214	2273	6185
215	2283	6173
216	2293	6162
217	2303	6149
218	2315	6142
219	2325	6131
220	2334	6115
221	2344	6104
222	2354	6092
223	2364	6078
224	2374	6067
225	2384	6055
226	2394	6043
227	2404	6033
228	2413	6018
229	2424	6009
230	2433	5994
231	2443	5982
232	2454	5974
233	2464	5961
234	2474	5950
235	2485	5938
236	2494	5925
237	2505	5916
238	2514	5901
239	2524	5891
240	2535	5881
241	2546	5871
242	2557	5862
243	2569	5854
244	2578	5841
245	2591	5836
246	2603	5829
247	2613	5817
248	2624	5806
249	2634	5796
250	2643	5782
251	2654	5772
252	2663	5758
253	2673	5746
254	2683	5736
255	2693	5724
256	2705	5715
257	2715	5704
258	2724	5690
259	2735	5681
260	2744	5667
261	2754	5655
262	2763	5642
263	2772	5629
264	2784	5620
265	2793	5607
266	2804	5598
267	2815	5588
268	2824	5574
269	2835	5565
270	2843	5550
271	2854	5541
272	2866	5533
273	2875	5519
274	2885	5508
275	2895	5497
276	2906	5487
277	2916	5476
278	2925	5462
279	2935	5451
280	2946	5442
281	2956	5431
282	2967	5420
283	2975	5406
284	2986	5396
285	2996	5385
286	3006	5374
287	3016	5363
288	3026	5352
289	3036	5340
290	3047	5331
291	3056	5316
292	3067	5307
293	3080	5300
294	3090	5289
