Model,Target,MAE,RMSE,MAPE (%),R²
XGBoost,nat_demand,45.45639074401,63.8399392808728,4.031595895911686,0.886578110152749
XGBoost,load_tocumen_mwh,37.06559910204577,52.068164811619994,4.0219611255172945,0.8874668785311101
XGBoost,load_santiago_mwh,2.9409018414876886,4.108616348417449,4.061163983758087,0.8868947889527271
XGBoost,load_david_mwh,5.364449981502907,7.51368851441719,4.081536818075384,0.885946922097617
LightGBM,nat_demand,45.48806700967364,63.93125590715548,4.040428634844665,0.8862534008254404
LightGBM,load_tocumen_mwh,37.24345496338588,52.40612598881967,4.035301755160046,0.886001289959462
LightGBM,load_santiago_mwh,2.957837583748824,4.142588894150916,4.090764894260274,0.8850166102285105
LightGBM,load_david_mwh,5.355485082014456,7.543846024620683,4.075458484971032,0.8850295405779715
CatBoost,nat_demand,44.417203263802364,62.92486556150469,3.9523937583532067,0.8898063569110497
CatBoost,load_tocumen_mwh,35.947186991274066,51.23737893184452,3.9120334916823984,0.8910293267327833
CatBoost,load_santiago_mwh,2.8823719050146237,4.062942192005614,3.9890131449621085,0.8893955193074947
CatBoost,load_david_mwh,5.226767075883735,7.3631526821209095,3.9825020335020764,0.8904712206000835
